"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"14/11/2025","27.000","26.805","27.000","26.805","1.37K","36.99M","0,00%"
"13/11/2025","27.000","27.000","28.200","28.200","0.73K","19.74M","-1,10%"
"12/11/2025","27.300","26.900","27.300","26.900","20.94K","571.77M","1,49%"
"11/11/2025","26.900","26.855","26.900","26.855","1.51K","40.57M","-0,02%"
"10/11/2025","26.905","26.900","26.905","26.900","9.20K","247.42M","-0,33%"
"07/11/2025","26.995","26.995","26.995","26.995","0,00K","0,00M","0,15%"
"06/11/2025","26.955","26.955","27.000","27.000","0.67K","17.98M","0,02%"
"05/11/2025","26.950","26.950","27.050","27.050","0.95K","25.47M","-0,92%"
"04/11/2025","27.200","27.200","27.250","27.250","1.27K","34.60M","-1,09%"
